country,code,name,latitude,longitude,cities
BF,55,Komoe,0,0,0
BF,56,Komondjari,0,0,0
BF,57,Kompienga,0,0,0
BF,58,Kossi,0,0,0
BF,59,Koulpelogo,0,0,0
BF,28,Kouritenga,0,0,0
BF,60,Kourweogo,0,0,0
BF,61,Leraba,10.06782,-4.799133,0
BF,62,Loroum,0,0,0
BF,63,Mouhoun,0,0,0
BF,64,Namentenga,0,0,0
BF,65,Naouri,12.133333,0.583333,0
BF,66,Nayala,0,0,0
BF,67,Noumbiel,0,0,0
BF,68,Oubritenga,0,0,0
BF,33,Oudalan,0,0,0
BF,34,Passore,0,0,0
BF,69,Poni,0,0,0
BF,36,Sanguie,0,0,0
BF,70,Sanmatenga,0,0,0
BF,71,Seno,14.366667,-0.566667,0
BF,72,Sissili,0,0,0
BF,40,Soum,0,0,0
BF,73,Sourou,11.416667,-1.866667,0
BF,42,Tapoa,12.484337,2.399365,0
BF,74,Tuy,0,0,0
BF,75,Yagha,10.466667,-2.783333,0
BF,76,Yatenga,0,0,0
BF,77,Ziro,0,0,0
BF,78,Zondoma,0,0,0
BF,44,Zoundweogo,0,0,0
BG,38,Blagoevgrad,0,0,11
BG,39,Burgas,0,0,31
BG,40,Dobrich,0,0,6
BG,41,Gabrovo,0,0,3
BG,42,Grad Sofiya,0,0,9
BG,43,Khaskovo,0,0,15
BG,44,Kurdzhali,0,0,4
BG,45,Kyustendil,0,0,6
BG,46,Lovech,0,0,18
BG,33,Mikhaylovgrad,0,0,2
BG,47,Montana,0,0,4
BG,48,Pazardzhik,0,0,13
BG,49,Pernik,0,0,3
BG,50,Pleven,0,0,5
BG,51,Plovdiv,0,0,23
BG,52,Razgrad,0,0,13
BG,53,Ruse,0,0,5
BG,54,Shumen,0,0,5
BG,55,Silistra,0,0,3
BG,56,Sliven,0,0,2
BG,57,Smolyan,0,0,7
BG,58,Sofiya,0,0,23
BG,59,Stara Zagora,0,0,6
BG,60,Turgovishte,0,0,3
BG,61,Varna,0,0,26
BG,62,Veliko Turnovo,0,0,8
BG,63,Vidin,0,0,1
BG,64,Vratsa,0,0,5
BG,65,Yambol,0,0,3
BH,1,Al Hadd,0,0,0
BH,2,Al Manamah,0,0,1
BH,8,Al Mintaqah al Gharbiyah,26.04178,50.497529,0
BH,11,Al Mintaqah al Wusta,26.178315,50.532508,0
BH,10,Al Mintaqah ash Shamaliyah,0,0,1
BH,3,Al Muharraq,0,0,1
BH,13,Ar Rifa,26.1298,50.537,0
BH,5,Jidd Hafs,0,0,1
BH,12,Madinat,0,0,1
BH,14,Madinat Hamad,26.100456,50.512521,0
BH,9,Mintaqat Juzur Hawar,0,0,0
BH,6,Sitrah,26.161012,50.625151,0
BI,9,Bubanza,-3.133502,29.386686,0
BI,2,Bujumbura,0,0,1
BI,10,Bururi,-3.882269,29.641667,0
BI,11,Cankuzo,-3.15,30.603676,0
BI,12,Cibitoke,-2.833333,29.225,0
BI,13,Gitega,-3.441667,29.916666,0
BI,14,Karuzi,-3.125,30.125,0
BI,15,Kayanza,-3.025,29.641667,0
BI,16,Kirundo,-2.55,30.158333,0
BI,17,Makamba,-4.191667,29.825,0
BI,22,Muramvya,-3.383333,29.691666,0
BI,18,Muyinga,-2.708333,30.3,0
BI,23,Mwaro,0,0,0
BI,19,Ngozi,-2.9,29.875,0
BI,20,Rutana,-3.825,30.166666,0
BI,21,Ruyigi,-3.455418,30.358333,0
BJ,1,Atakora,0,0,0
BJ,2,Atlantique,0,0,0
BJ,3,Borgou,0,0,0
BJ,4,Mono,0,0,0
BJ,5,Oueme,0,0,1
BJ,6,Zou,0,0,0
BM,1,Devonshire,33.73958,-116.309267,0
BM,2,Hamilton,32.329337,-64.706,0
BM,4,Paget,0,0,0
BM,5,Pembroke,37.289949,-77.432914,0
BM,6,Saint George,0,0,1
BM,7,Saint George's,0,0,0
BM,8,Sandys,0,0,0
BM,9,Smiths,0,0,0
BM,10,Southampton,37.237342,-77.376659,0
BM,11,Warwick,37.45889,-77.42306,0
BN,7,Alibori,0,0,0
BN,8,Belait,4.449758,114.318703,0
BN,9,Brunei and Muara,0,0,0
BN,11,Collines,0,0,0
BN,13,Donga,0,0,0
BN,12,Kouffo,0,0,0
BN,14,Littoral,0,0,0
BN,16,Oueme,0,0,0
BN,17,Plateau,0,0,0
BN,10,Temburong,0,0,0
BN,15,Tutong,4.805784,114.646698,0
BN,18,Zou,0,0,0
BO,1,Chuquisaca,0,0,1
BO,2,Cochabamba,0,0,2
BO,3,El Beni,0,0,3
BO,4,La Paz,0,0,1
BO,5,Oruro,0,0,1
BO,6,Pando,-11.088623,-67.423198,0
BO,7,Potosi,0,0,2
BO,8,Santa Cruz,0,0,2
BO,9,Tarija,0,0,2
BR,1,Acre,0,0,4
BR,2,Alagoas,0,0,18
BR,3,Amapa,0,0,1
BR,4,Amazonas,0,0,9
BR,5,Bahia,0,0,65
BR,6,Ceara,0,0,23
BR,7,Distrito Federal,0,0,2
BR,8,Espirito Santo,0,0,25
BR,29,Goias,0,0,16
BR,13,Maranhao,0,0,11
BR,14,Mato Grosso,0,0,4
BR,11,Mato Grosso do Sul,0,0,23
BR,15,Minas Gerais,0,0,121
BR,16,Para,0,0,14
BR,17,Paraiba,0,0,19
BR,18,Parana,0,0,63
BR,30,Pernambuco,0,0,36
BR,20,Piaui,0,0,9
BR,21,Rio de Janeiro,0,0,51
BR,22,Rio Grande do Norte,0,0,19
BR,23,Rio Grande do Sul,0,0,75
BR,24,Rondonia,0,0,8
BR,25,Roraima,0,0,4
BR,26,Santa Catarina,0,0,49
BR,27,Sao Paulo,0,0,231
BR,28,Sergipe,0,0,9
BR,31,Tocantins,0,0,6
BS,24,Acklins and Crooked Islands,0,0,0
BS,5,Bimini,25.700378,-79.26474,0
BS,6,Cat Island,24.403209,-75.525948,0
BS,10,Exuma,23.56913,-75.845447,0
BS,25,Freeport,0,0,1
BS,26,Fresh Creek,0,0,0
BS,27,Governor's Harbour,0,0,1
BS,28,Green Turtle Cay,0,0,0
BS,22,Harbour Island,0,0,1
BS,29,High Rock,0,0,0
BS,13,Inagua,20.977222,-73.665276,0
BS,30,Kemps Bay,23.866667,-77.516667,0
BS,15,Long Island,23.271651,-75.085708,0
BS,31,Marsh Harbour,0,0,1
BS,16,Mayaguana,22.379528,-73.0135,0
BS,23,New Providence,0,0,1
BS,32,Nichollstown and Berry Islands,0,0,0
BS,18,Ragged Island,22.22731,-75.730793,0
BS,33,Rock Sound,24.96731,-76.183823,0
BS,35,San Salvador and Rum Cay,0,0,0
BS,34,Sandy Point,26.004639,-77.395483,0
BT,5,Bumthang,27.682259,90.630643,0
BT,6,Chhukha,0,0,0
BT,7,Chirang,0,0,0
BT,8,Daga,0,0,0
BT,9,Geylegphug,0,0,0
BT,10,Ha,0,0,0
BT,11,Lhuntshi,0,0,0
BT,12,Mongar,27.129152,91.167156,0
BT,13,Paro,27.513568,89.357058,0
BT,14,Pemagatsel,0,0,0
BT,15,Punakha,27.680425,89.895182,0
BT,16,Samchi,0,0,0
BT,17,Samdrup,26.81,91.56,0
BT,18,Shemgang,0,0,0
BT,19,Tashigang,27.379431,91.879189,0
BT,20,Thimphu,0,0,1
BT,21,Tongsa,27.499969,90.503357,0
BT,22,Wangdi Phodrang,27.53841,89.892951,0
BW,1,Central,-21.483334,26.422628,0
BW,2,Chobe,-18.308334,24.883333,0
BW,3,Ghanzi,-21.703975,21.64618,0
BW,4,Kgalagadi,-25.075,22.075,0
BW,5,Kgatleng,-24.216667,26.35,0
BW,6,Kweneng,-24.030063,24.5,0
BW,7,Ngamiland,-19.244866,23.1,0
BW,8,North-East,0,0,2
BW,9,South-East,0,0,2
BW,10,Southern,-25.008333,24.396088,0
BY,1,Brestskaya Voblasts',0,0,7
BY,2,Homyel'skaya Voblasts',0,0,9
BY,3,Hrodzyenskaya Voblasts',0,0,10
BY,6,Mahilyowskaya Voblasts',0,0,12
BY,4,Minsk,0,0,10
BY,5,Minskaya Voblasts',0,0,0
BY,7,Vitsyebskaya Voblasts',0,0,15
BZ,1,Belize,0,0,6
BZ,2,Cayo,0,0,6
BZ,3,Corozal,0,0,2
BZ,4,Orange Walk,17.779726,-88.718411,0
BZ,5,Stann Creek,0,0,1
BZ,6,Toledo,0,0,1
CA,1,Alberta,54.500981,-114.99992,0
CA,2,British Columbia,54.115749,-126.55071,0
CA,3,Manitoba,54.503629,-95.494255,0
CA,4,New Brunswick,46.285875,-66.256015,0
CA,5,Newfoundland and Labrador,53.337125,-60.21835,0
CA,13,Northwest Territories,69.36212,-119.240445,0
CA,7,Nova Scotia,45.543425,-61.63183,0
CA,14,Nunavut,67.136865,-91.092025,0
CA,8,Ontario,49.26788,-84.74493,0
CA,9,Prince Edward Island,46.634645,-63.05213,0
CA,10,Quebec,46.81274,-71.21935,0
CA,11,Saskatchewan,54.50071,-105.68423,0
CA,12,Yukon Territory,64.8369,-132.39536,0
CD,1,Bandundu,-3.307778,17.383333,0
CD,8,Bas-Congo,-5.183388,14.258333,0
CD,2,Equateur,1.358334,20.290649,0
CD,3,Kasai-Occidental,-5.149982,21.736541,0
CD,4,Kasai-Oriental,-4.856722,24.058333,0
CD,5,Katanga,-9.179045,26.191997,0
CD,6,Kinshasa,-4.491666,15.828001,0
CD,7,Kivu,0,0,0
CD,10,Maniema,-1.167485,28.61903,0
CD,11,Nord-Kivu,0,0,0
CD,9,Orientale,1.505395,26.888719,0
CD,12,Sud-Kivu,0,0,0
CF,1,Bamingui-Bangoran,8.202459,20.274489,0
CF,18,Bangui,0,0,1
CF,2,Basse-Kotto,4.924944,21.35,0
CF,5,Haut-Mbomou,6.072541,26.041666,0
CF,3,Haute-Kotto,7.03974,22.515856,0
CF,6,Kemo,5.711471,19.475,0
CF,7,Lobaye,4.251303,17.727095,0
CF,4,Mambere-Kadei,4.522075,15.908333,0
CF,8,Mbomou,5.247212,23.4,0
CF,15,Nana-Grebizi,6.973257,19.425,0
CF,9,Nana-Mambere,5.773557,15.54668,0
CF,17,Ombella-Mpoko,4.916667,17.833333,0
CF,11,Ouaka,6.143173,20.76937,0
CF,12,Ouham,7.067532,17.861185,0
CF,13,Ouham-Pende,6.683333,16.108816,0
CF,16,Sangha-Mbaere,3.300875,16.3,0
CF,14,Vakaga,9.643518,22.147255,0
CG,1,Bouenza,-4.15,13.516667,0
CG,12,Brazzaville,0,0,1
CG,3,Cuvette,-0.466667,15.682525,0
CG,4,Kouilou,0,0,1
CG,5,Lekoumou,-3.171705,13.475,0
CG,6,Likouala,1.401412,17.74006,0
CG,7,Niari,-3.384698,12.568701,0
CG,8,Plateaux,-1.941667,15.441667,0
CG,11,Pool,-3.907402,15.082881,0
CG,10,Sangha,0,0,1
CH,1,Aargau,0,0,168
CH,2,Ausser-Rhoden,0,0,20
CH,3,Basel-Landschaft,0,0,15
CH,4,Basel-Stadt,0,0,12
CH,5,Bern,0,0,103
CH,6,Fribourg,0,0,33
CH,7,Geneve,0,0,46
CH,8,Glarus,0,0,14
CH,9,Graubunden,0,0,71
CH,10,Inner-Rhoden,0,0,14
CH,26,Jura,0,0,12
CH,11,Luzern,0,0,32
CH,12,Neuchatel,0,0,26
CH,13,Nidwalden,0,0,7
CH,14,Obwalden,0,0,21
CH,15,Sankt Gallen,0,0,39
CH,16,Schaffhausen,0,0,21
CH,17,Schwyz,0,0,11
CH,18,Solothurn,0,0,22
CH,19,Thurgau,0,0,24
CH,20,Ticino,0,0,76
CH,21,Uri,0,0,11
CH,22,Valais,0,0,48
CH,23,Vaud,0,0,77
CH,24,Zug,0,0,18
CH,25,Zurich,0,0,86
CI,1,Abengourou,6.72909,-3.491421,0
CI,61,Abidjan,0,0,3
CI,62,Aboisso,5.466667,-3.2,0
CI,63,Adiake,5.2908,-3.3267,0
CI,5,Adzope,6.096143,-3.868163,0
CI,6,Agboville,5.927773,-4.222393,0
CI,64,Alepe,0,0,0
CI,36,Bangolo,7.033248,-7.144255,0
CI,37,Beoumi,7.775733,-5.391067,0
CI,7,Biankouma,7.7344,-7.6128,0
CI,65,Bocanda,7.0481,-4.5284,0
CI,38,Bondoukou,7.083333,-5.05,0
CI,27,Bongouanou,6.65,-4.2,0
CI,39,Bouafle,6.98166,-5.750575,0
CI,40,Bouake,9.616667,-7.416667,0
CI,11,Bouna,9.269945,-2.994693,0
CI,12,Boundiali,9.52211,-6.488623,0
CI,3,Dabakala,8.3611,-4.424,0
CI,66,Dabou,5.313541,-4.383539,0
CI,41,Daloa,6.87775,-6.4472,0
CI,14,Danane,7.260198,-8.150842,0
CI,42,Daoukro,7.0591,-3.9631,0
CI,67,Dimbokro,6.645828,-4.706601,0
CI,16,Divo,5.843325,-5.36144,0
CI,44,Duekoue,6.7426,-7.3372,0
CI,17,Ferkessedougou,9.594077,-5.202254,0
CI,18,Gagnoa,6.137461,-5.908112,0
CI,68,Grand-Bassam,5.196354,-3.745698,0
CI,45,Grand-Lahou,5.182858,-4.999068,0
CI,69,Guiglo,6.55,-7.483333,0
CI,28,Issia,6.4801,-6.5866,0
CI,70,Jacqueville,5.2,-4.416667,0
CI,20,Katiola,9.65,-7.616667,0
CI,21,Korhogo,9.449102,-5.642024,0
CI,29,Lakota,5.85,-5.683333,0
CI,47,Man,7.404119,-7.550929,0
CI,30,Mankono,8.45,-6.866667,0
CI,48,Mbahiakro,7.4557,-4.3469,0
CI,23,Odienne,9.509565,-7.574298,0
CI,31,Oume,6.3779,-5.4256,0
CI,49,Sakassou,6.542578,-4.827003,0
CI,50,San Pedro,4.745555,-6.661667,0
CI,51,Sassandra,0,0,1
CI,25,Seguela,7.966667,-6.666667,0
CI,52,Sinfra,6.620751,-5.914704,0
CI,32,Soubre,5.781,-6.6032,0
CI,53,Tabou,4.4173,-7.3593,0
CI,54,Tanda,7.8018,-3.1678,0
CI,55,Tiassale,5.9327,-4.9867,0
CI,71,Tiebissou,7.716667,-4.666667,0
CI,33,Tingrela,10.4696,-6.4084,0
CI,26,Touba,9.723194,-7.395185,0
CI,72,Toulepleu,6.576575,-8.420091,0
CI,56,Toumodi,7.433333,-5.616667,0
CI,57,Vavoua,7.3713,-6.4837,0
CI,73,Yamoussoukro,6.84025,-5.3239,0
CI,34,Zuenoula,7.433333,-6.05,0
CL,2,Aisen del General Carlos Ibanez del Campo,0,0,1
CL,3,Antofagasta,0,0,5
CL,4,Araucania,0,0,7
CL,5,Atacama,0,0,7
CL,6,Bio-Bio,0,0,7
CL,7,Coquimbo,0,0,9
CL,8,Libertador General Bernardo O'Higgins,0,0,7
CL,9,Los Lagos,0,0,10
CL,10,Magallanes y de la Antartica Chilena,0,0,2
CL,11,Maule,0,0,5
CL,12,Region Metropolitana,0,0,16
CL,13,Tarapaca,0,0,2
CL,1,Valparaiso,0,0,12
CM,10,Adamaoua,0,0,0
CM,11,Centre,0,0,1
CM,4,Est,4.008334,14.11337,0
CM,12,Extreme-Nord,0,0,1
CM,5,Littoral,0,0,2
CM,13,Nord,8.666667,13.915753,0
CM,7,Nord-Ouest,0,0,1
CM,8,Ouest,0,0,2
CM,14,Sud,2.916667,11.615155,0
CM,9,Sud-Ouest,0,0,3
CN,1,Anhui,0,0,162
CN,22,Beijing,0,0,43
CN,33,Chongqing,0,0,63
CN,7,Fujian,0,0,481
CN,15,Gansu,0,0,51
CN,30,Guangdong,22.878949,113.447452,296
CN,16,Guangxi,0,0,104
CN,18,Guizhou,0,0,159
CN,31,Hainan,0,0,126
CN,10,Hebei,39.344369,116.662459,145
CN,8,Heilongjiang,0,0,105
CN,9,Henan,0,0,127
CN,12,Hubei,0,0,84
CN,11,Hunan,0,0,401
CN,4,Jiangsu,0,0,135
CN,3,Jiangxi,0,0,198
CN,5,Jilin,0,0,73
CN,19,Liaoning,0,0,79
CN,20,Nei Mongol,0,0,23
CN,21,Ningxia,0,0,18
CN,6,Qinghai,0,0,16
CN,26,Shaanxi,0,0,134
CN,25,Shandong,0,0,252
CN,23,Shanghai,0,0,22
CN,24,Shanxi,0,0,169
